"Category","Occurrence","Action item","Subject","Group","Description","Documentation references","Recommended action","Filtered","Estimated complexity","Line","Position","Source","Target","Server IP address and port","Database name","Schema name","AI/ML Recommendation"
"view","Schemas.OMA.Views.TRANSFERS_VIEW","9997","j.transaction_doc.trans_amount","Unable to resolve objects","Unable to resolve the object j.transaction_doc.trans_amount","","Verify if the unresolved object is present in the database. If it isn't, check the object name or add the object. If the object is present, transform the code manually.","","Simple","6","238","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"view","Schemas.OMA.Views.TRANSFERS_VIEW","9997","j.transaction_doc.event_id","Unable to resolve objects","Unable to resolve the object j.transaction_doc.event_id","","Verify if the unresolved object is present in the database. If it isn't, check the object name or add the object. If the object is present, transform the code manually.","","Simple","8","312","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"view","Schemas.OMA.Views.CUSTOMER_ORDER_PRODUCTS","5341","","PostgreSQL doesn't support LISTAGG functions with the ON OVERFLOW clause. ","PostgreSQL doesn't support LISTAGG functions with the ON OVERFLOW clause. ","","Revise your code to use another function or create a user-defined function.","","Medium","6","222","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.BRICKS.Columns.WEIGHT","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.CUSTOMERS.Columns.CUSTOMER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.GAS_PRICE_LOG.Columns.LOGGED_PRICE","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.HIER_TEST.Columns.EMP_NO","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.HIER_TEST.Columns.MANAGER_NO","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.INVENTORIES.Columns.QTY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.INVENTORY.Columns.INVENTORY_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.INVENTORY.Columns.PRODUCT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.INVENTORY.Columns.PRODUCT_INVENTORY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.INVENTORY.Columns.STORE_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.MATCH_RESULTS.Columns.AWAY_TEAM_POINTS","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.MATCH_RESULTS.Columns.HOME_TEAM_POINTS","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.MONTHLY_SALES.Columns.QTY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.NUMBERS.Columns.NUMVAL","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDERLINE.Columns.ORDNO","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDERLINE.Columns.QTY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDERS.Columns.CUSTOMER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDERS.Columns.ORDER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDERS.Columns.STORE_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDER_ITEMS.Columns.LINE_ITEM_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDER_ITEMS.Columns.ORDER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDER_ITEMS.Columns.PRODUCT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDER_ITEMS.Columns.QUANTITY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.ORDER_ITEMS.Columns.SHIPMENT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.PRODUCTS.Columns.PRODUCT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.SALES.Columns.QTY","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.SHIPMENTS.Columns.CUSTOMER_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.SHIPMENTS.Columns.SHIPMENT_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.SHIPMENTS.Columns.STORE_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.STORES.Columns.STORE_ID","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
"table","Schemas.OMA.Tables.TOYS.Columns.WEIGHT","5984","","Specify the precision and scale values for your source column","DMS SC uses the NUMERIC data type to convert the column because you haven't specified the precision and scale values in your source code. Your converted code can work faster if you use the optimized data type mapping","","To improve the conversion and use the optimized data type mapping, specify the precision and scale values for the column in your source code. Then, convert the table again.","","Info","","","10.1.3.182","oma-aurora-pg-cluster.cluster-c7i1cctulifp.us-east-1.rds.amazonaws.com","10.1.3.182:8190","XEPDB1","OMA",""
